offspring_id known_id candidate_id session new_offspring_id id_flow
1.MO2.06_H2_R2_13 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_13 1.MO2.06_H2_R2
1.MO2.06_H2_R2_14 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_14 1.MO2.06_H2_R2
1.MO2.06_H2_R2_15 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_15 1.MO2.06_H2_R2
1.MO2.06_H2_R2_16 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_16 1.MO2.06_H2_R2
1.MO2.06_H2_R2_17 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_17 1.MO2.06_H2_R2
1.MO2.06_H2_R2_18 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_18 1.MO2.06_H2_R2
1.MO2.06_H2_R2_19 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_19 1.MO2.06_H2_R2
1.MO2.06_H2_R2_20 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_20 1.MO2.06_H2_R2
1.MO2.06_H2_R2_21 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_21 1.MO2.06_H2_R2
1.MO2.06_H2_R2_22 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_22 1.MO2.06_H2_R2
1.MO2.06_H2_R2_23 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_23 1.MO2.06_H2_R2
1.MO2.06_H2_R2_24 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_24 1.MO2.06_H2_R2
1.MO2.06_H2_R2_25 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_25 1.MO2.06_H2_R2
1.MO2.06_H2_R2_27 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_27 1.MO2.06_H2_R2
1.MO2.06_H2_R3_01 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R3_01 1.MO2.06_H2_R3
1.MO2.06_H2_R3_02 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R3_02 1.MO2.06_H2_R3
1.MO2.06_H2_R3_03 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R3_03 1.MO2.06_H2_R3
1.MO2.06_H2_R3_04 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R3_04 1.MO2.06_H2_R3
